Namespace(config='config/qrdqn.yaml', cuda=True, env_id='JamesbondNoFrameskip-v4', model='DEnet', seed=1)
Mean_return:1.14 Frame:10.63 M  Time_used 10H-26M Time_togo 186H-8M
Mean_return:1.01 Frame:10.73 M  Time_used 10H-32M Time_togo 185H-52M
Mean_return:1.03 Frame:10.83 M  Time_used 10H-37M Time_togo 185H-36M
Mean_return:1.12 Frame:10.93 M  Time_used 10H-42M Time_togo 185H-12M
------------------------------------------------------------
Num steps: 2750000  return: 369.1
------------------------------------------------------------
Mean_return:1.43 Frame:11.04 M  Time_used 10H-56M Time_togo 187H-25M
Mean_return:0.85 Frame:11.13 M  Time_used 11H-1M Time_togo 187H-6M
Mean_return:1.17 Frame:11.23 M  Time_used 11H-7M Time_togo 186H-53M
Mean_return:1.29 Frame:11.33 M  Time_used 11H-12M Time_togo 186H-35M
Mean_return:0.94 Frame:11.43 M  Time_used 11H-17M Time_togo 186H-16M
Mean_return:1.44 Frame:11.54 M  Time_used 11H-23M Time_togo 185H-57M
Mean_return:1.06 Frame:11.64 M  Time_used 11H-28M Time_togo 185H-35M
Mean_return:1.17 Frame:11.75 M  Time_used 11H-33M Time_togo 185H-12M
Mean_return:1.3 Frame:11.85 M  Time_used 11H-38M Time_togo 184H-53M
Mean_return:1.17 Frame:11.95 M  Time_used 11H-43M Time_togo 184H-40M
------------------------------------------------------------
Num steps: 3000000  return: 337.1
------------------------------------------------------------
Mean_return:1.07 Frame:12.05 M  Time_used 11H-58M Time_togo 186H-50M
Mean_return:1.24 Frame:12.15 M  Time_used 12H-4M Time_togo 186H-29M
Mean_return:1.44 Frame:12.26 M  Time_used 12H-9M Time_togo 186H-3M
Mean_return:1.47 Frame:12.36 M  Time_used 12H-14M Time_togo 185H-50M
Mean_return:1.43 Frame:12.47 M  Time_used 12H-20M Time_togo 185H-26M
Mean_return:1.4 Frame:12.58 M  Time_used 12H-25M Time_togo 185H-7M
Mean_return:1.49 Frame:12.69 M  Time_used 12H-31M Time_togo 184H-47M
Mean_return:1.35 Frame:12.79 M  Time_used 12H-35M Time_togo 184H-25M
Mean_return:1.59 Frame:12.89 M  Time_used 12H-40M Time_togo 184H-2M
Mean_return:1.43 Frame:13.00 M  Time_used 12H-45M Time_togo 183H-38M
------------------------------------------------------------
Num steps: 3250000  return: 441.2
------------------------------------------------------------
Mean_return:1.38 Frame:13.09 M  Time_used 12H-59M Time_togo 185H-22M
Mean_return:1.51 Frame:13.20 M  Time_used 13H-4M Time_togo 184H-59M
Mean_return:1.56 Frame:13.31 M  Time_used 13H-9M Time_togo 184H-37M
Mean_return:1.57 Frame:13.42 M  Time_used 13H-15M Time_togo 184H-14M
Mean_return:1.28 Frame:13.52 M  Time_used 13H-19M Time_togo 183H-51M
Mean_return:1.38 Frame:13.61 M  Time_used 13H-24M Time_togo 183H-30M
Mean_return:1.65 Frame:13.73 M  Time_used 13H-29M Time_togo 183H-4M
Mean_return:1.58 Frame:13.84 M  Time_used 13H-34M Time_togo 182H-39M
Mean_return:1.51 Frame:13.95 M  Time_used 13H-39M Time_togo 182H-17M
------------------------------------------------------------
Num steps: 3500000  return: 461.2
------------------------------------------------------------
Mean_return:1.57 Frame:14.06 M  Time_used 13H-54M Time_togo 183H-55M
Mean_return:1.61 Frame:14.17 M  Time_used 13H-59M Time_togo 183H-38M
Mean_return:1.54 Frame:14.28 M  Time_used 14H-5M Time_togo 183H-17M
Mean_return:1.43 Frame:14.38 M  Time_used 14H-10M Time_togo 183H-2M
Mean_return:1.52 Frame:14.49 M  Time_used 14H-16M Time_togo 182H-42M
Mean_return:1.38 Frame:14.60 M  Time_used 14H-21M Time_togo 182H-24M
Mean_return:1.6 Frame:14.71 M  Time_used 14H-27M Time_togo 182H-1M
Mean_return:1.48 Frame:14.82 M  Time_used 14H-32M Time_togo 181H-43M
Mean_return:1.48 Frame:14.94 M  Time_used 14H-38M Time_togo 181H-27M
------------------------------------------------------------
Num steps: 3750000  return: 460.9
------------------------------------------------------------
Mean_return:1.5 Frame:15.05 M  Time_used 14H-53M Time_togo 182H-58M
Mean_return:1.5 Frame:15.15 M  Time_used 14H-58M Time_togo 182H-37M
Mean_return:1.54 Frame:15.26 M  Time_used 15H-3M Time_togo 182H-16M
Mean_return:1.47 Frame:15.37 M  Time_used 15H-9M Time_togo 181H-59M
Mean_return:1.58 Frame:15.48 M  Time_used 15H-14M Time_togo 181H-39M
Mean_return:1.6 Frame:15.59 M  Time_used 15H-20M Time_togo 181H-20M
Mean_return:1.63 Frame:15.71 M  Time_used 15H-25M Time_togo 180H-59M
Mean_return:1.71 Frame:15.82 M  Time_used 15H-30M Time_togo 180H-38M
Mean_return:1.55 Frame:15.93 M  Time_used 15H-36M Time_togo 180H-23M
------------------------------------------------------------
Num steps: 4000000  return: 414.4
------------------------------------------------------------
Mean_return:1.67 Frame:16.05 M  Time_used 15H-51M Time_togo 181H-52M
Mean_return:1.39 Frame:16.16 M  Time_used 15H-57M Time_togo 181H-40M
Mean_return:1.54 Frame:16.26 M  Time_used 16H-3M Time_togo 181H-25M
Mean_return:1.4 Frame:16.37 M  Time_used 16H-8M Time_togo 181H-9M
Mean_return:1.43 Frame:16.47 M  Time_used 16H-14M Time_togo 180H-56M
Mean_return:1.59 Frame:16.59 M  Time_used 16H-20M Time_togo 180H-39M
Mean_return:1.51 Frame:16.69 M  Time_used 16H-25M Time_togo 180H-22M
Mean_return:1.49 Frame:16.80 M  Time_used 16H-30M Time_togo 180H-5M
Mean_return:1.67 Frame:16.91 M  Time_used 16H-36M Time_togo 179H-50M
------------------------------------------------------------
Num steps: 4250000  return: 505.8
------------------------------------------------------------
Mean_return:1.59 Frame:17.03 M  Time_used 16H-51M Time_togo 181H-14M
Mean_return:1.49 Frame:17.13 M  Time_used 16H-57M Time_togo 181H-2M
Mean_return:1.66 Frame:17.24 M  Time_used 17H-3M Time_togo 180H-47M
Mean_return:1.89 Frame:17.36 M  Time_used 17H-9M Time_togo 180H-36M
Mean_return:1.39 Frame:17.47 M  Time_used 17H-15M Time_togo 180H-22M
Mean_return:1.55 Frame:17.58 M  Time_used 17H-21M Time_togo 180H-9M
Mean_return:1.48 Frame:17.69 M  Time_used 17H-27M Time_togo 179H-55M
Mean_return:1.38 Frame:17.80 M  Time_used 17H-32M Time_togo 179H-39M
Mean_return:1.5 Frame:17.92 M  Time_used 17H-39M Time_togo 179H-25M
------------------------------------------------------------
Num steps: 4500000  return: 529.6
------------------------------------------------------------
Mean_return:1.66 Frame:18.02 M  Time_used 17H-54M Time_togo 180H-46M
Mean_return:1.6 Frame:18.13 M  Time_used 17H-59M Time_togo 180H-31M
Mean_return:1.71 Frame:18.25 M  Time_used 18H-5M Time_togo 180H-17M
Mean_return:1.43 Frame:18.35 M  Time_used 18H-11M Time_togo 180H-3M
Mean_return:1.55 Frame:18.47 M  Time_used 18H-17M Time_togo 179H-50M
Mean_return:1.65 Frame:18.58 M  Time_used 18H-23M Time_togo 179H-35M
Mean_return:1.64 Frame:18.69 M  Time_used 18H-29M Time_togo 179H-22M
Mean_return:1.62 Frame:18.81 M  Time_used 18H-35M Time_togo 179H-7M
Mean_return:1.53 Frame:18.91 M  Time_used 18H-41M Time_togo 178H-57M
------------------------------------------------------------
Num steps: 4750000  return: 439.7
------------------------------------------------------------
Mean_return:1.53 Frame:19.03 M  Time_used 18H-56M Time_togo 180H-13M
Mean_return:1.67 Frame:19.14 M  Time_used 19H-3M Time_togo 180H-2M
Mean_return:1.72 Frame:19.25 M  Time_used 19H-8M Time_togo 179H-48M
Mean_return:1.41 Frame:19.36 M  Time_used 19H-14M Time_togo 179H-34M
Mean_return:1.46 Frame:19.46 M  Time_used 19H-20M Time_togo 179H-21M
Mean_return:1.56 Frame:19.57 M  Time_used 19H-26M Time_togo 179H-11M
Mean_return:1.42 Frame:19.68 M  Time_used 19H-32M Time_togo 179H-0M
Mean_return:1.57 Frame:19.79 M  Time_used 19H-38M Time_togo 178H-47M
Mean_return:1.45 Frame:19.90 M  Time_used 19H-43M Time_togo 178H-34M
------------------------------------------------------------
Num steps: 5000000  return: 485.2
------------------------------------------------------------
Mean_return:1.6 Frame:20.01 M  Time_used 19H-59M Time_togo 179H-45M
Mean_return:1.54 Frame:20.12 M  Time_used 20H-4M Time_togo 179H-30M
Mean_return:1.78 Frame:20.24 M  Time_used 20H-11M Time_togo 179H-16M
Mean_return:1.64 Frame:20.35 M  Time_used 20H-16M Time_togo 179H-2M
Mean_return:1.54 Frame:20.46 M  Time_used 20H-22M Time_togo 178H-49M
Mean_return:1.42 Frame:20.56 M  Time_used 20H-27M Time_togo 178H-34M
Mean_return:1.55 Frame:20.67 M  Time_used 20H-33M Time_togo 178H-20M
Mean_return:1.58 Frame:20.78 M  Time_used 20H-39M Time_togo 178H-7M
Mean_return:1.59 Frame:20.90 M  Time_used 20H-45M Time_togo 177H-56M
------------------------------------------------------------
Num steps: 5250000  return: 418.8
------------------------------------------------------------
Mean_return:1.59 Frame:21.01 M  Time_used 21H-0M Time_togo 178H-58M
Mean_return:1.57 Frame:21.11 M  Time_used 21H-5M Time_togo 178H-46M
Mean_return:1.36 Frame:21.22 M  Time_used 21H-11M Time_togo 178H-34M
Mean_return:1.65 Frame:21.33 M  Time_used 21H-17M Time_togo 178H-18M
Mean_return:1.55 Frame:21.44 M  Time_used 21H-22M Time_togo 178H-5M
Mean_return:1.35 Frame:21.54 M  Time_used 21H-28M Time_togo 177H-52M
Mean_return:1.7 Frame:21.65 M  Time_used 21H-34M Time_togo 177H-37M
Mean_return:1.55 Frame:21.76 M  Time_used 21H-39M Time_togo 177H-24M
Mean_return:1.53 Frame:21.88 M  Time_used 21H-45M Time_togo 177H-11M
Mean_return:1.42 Frame:21.98 M  Time_used 21H-51M Time_togo 176H-58M
------------------------------------------------------------
Num steps: 5500000  return: 423.2
------------------------------------------------------------
