Namespace(config='config/qrdqn.yaml', cuda=True, env_id='JamesbondNoFrameskip-v4', model='ncQRDQN', seed=0)
Mean_return:1.48 Frame:9.19 M  Time_used 8H-25M Time_togo 174H-52M
Mean_return:1.54 Frame:9.30 M  Time_used 8H-32M Time_togo 175H-11M
Mean_return:1.43 Frame:9.40 M  Time_used 8H-38M Time_togo 175H-7M
Mean_return:1.39 Frame:9.50 M  Time_used 8H-44M Time_togo 175H-6M
Mean_return:1.22 Frame:9.60 M  Time_used 8H-49M Time_togo 175H-6M
Mean_return:1.41 Frame:9.71 M  Time_used 8H-55M Time_togo 175H-2M
Mean_return:1.33 Frame:9.81 M  Time_used 9H-1M Time_togo 174H-57M
Mean_return:1.32 Frame:9.92 M  Time_used 9H-6M Time_togo 174H-28M
------------------------------------------------------------
Num steps: 2500000  return: 421.2
------------------------------------------------------------
Mean_return:1.32 Frame:10.03 M  Time_used 9H-18M Time_togo 176H-29M
Mean_return:1.31 Frame:10.13 M  Time_used 9H-23M Time_togo 176H-5M
Mean_return:1.26 Frame:10.23 M  Time_used 9H-28M Time_togo 175H-44M
Mean_return:1.28 Frame:10.34 M  Time_used 9H-33M Time_togo 175H-24M
Mean_return:1.42 Frame:10.45 M  Time_used 9H-38M Time_togo 175H-0M
Mean_return:1.55 Frame:10.55 M  Time_used 9H-43M Time_togo 174H-39M
Mean_return:1.45 Frame:10.66 M  Time_used 9H-48M Time_togo 174H-19M
Mean_return:1.37 Frame:10.76 M  Time_used 9H-53M Time_togo 173H-57M
Mean_return:1.49 Frame:10.87 M  Time_used 9H-58M Time_togo 173H-30M
Mean_return:1.25 Frame:10.96 M  Time_used 10H-2M Time_togo 173H-10M
------------------------------------------------------------
Num steps: 2750000  return: 437.2
------------------------------------------------------------
Mean_return:1.29 Frame:11.07 M  Time_used 10H-15M Time_togo 175H-8M
Mean_return:1.29 Frame:11.17 M  Time_used 10H-20M Time_togo 174H-48M
Mean_return:1.22 Frame:11.27 M  Time_used 10H-25M Time_togo 174H-29M
Mean_return:1.34 Frame:11.38 M  Time_used 10H-30M Time_togo 174H-8M
Mean_return:1.43 Frame:11.49 M  Time_used 10H-35M Time_togo 173H-48M
Mean_return:1.3 Frame:11.58 M  Time_used 10H-39M Time_togo 173H-27M
Mean_return:1.52 Frame:11.69 M  Time_used 10H-44M Time_togo 173H-2M
Mean_return:1.48 Frame:11.80 M  Time_used 10H-49M Time_togo 172H-40M
Mean_return:1.54 Frame:11.91 M  Time_used 10H-54M Time_togo 172H-17M
------------------------------------------------------------
Num steps: 3000000  return: 448.8
------------------------------------------------------------
Mean_return:1.36 Frame:12.02 M  Time_used 11H-7M Time_togo 174H-0M
Mean_return:1.63 Frame:12.13 M  Time_used 11H-12M Time_togo 173H-39M
Mean_return:1.5 Frame:12.24 M  Time_used 11H-17M Time_togo 173H-21M
Mean_return:1.61 Frame:12.35 M  Time_used 11H-22M Time_togo 172H-59M
Mean_return:1.52 Frame:12.46 M  Time_used 11H-27M Time_togo 172H-35M
Mean_return:1.59 Frame:12.56 M  Time_used 11H-32M Time_togo 172H-15M
Mean_return:1.32 Frame:12.67 M  Time_used 11H-37M Time_togo 171H-55M
Mean_return:1.29 Frame:12.77 M  Time_used 11H-42M Time_togo 171H-44M
Mean_return:1.67 Frame:12.89 M  Time_used 11H-48M Time_togo 171H-25M
Mean_return:1.45 Frame:12.99 M  Time_used 11H-53M Time_togo 171H-10M
------------------------------------------------------------
Num steps: 3250000  return: 421.3
------------------------------------------------------------
Mean_return:1.53 Frame:13.10 M  Time_used 12H-6M Time_togo 172H-38M
Mean_return:1.52 Frame:13.21 M  Time_used 12H-11M Time_togo 172H-16M
Mean_return:1.78 Frame:13.33 M  Time_used 12H-16M Time_togo 171H-56M
Mean_return:1.62 Frame:13.44 M  Time_used 12H-21M Time_togo 171H-37M
Mean_return:1.71 Frame:13.56 M  Time_used 12H-27M Time_togo 171H-18M
Mean_return:1.61 Frame:13.67 M  Time_used 12H-32M Time_togo 170H-56M
Mean_return:1.38 Frame:13.78 M  Time_used 12H-37M Time_togo 170H-36M
Mean_return:1.47 Frame:13.89 M  Time_used 12H-42M Time_togo 170H-15M
Mean_return:1.37 Frame:13.99 M  Time_used 12H-46M Time_togo 169H-52M
------------------------------------------------------------
Num steps: 3500000  return: 389.9
------------------------------------------------------------
Mean_return:1.37 Frame:14.10 M  Time_used 12H-58M Time_togo 171H-11M
Mean_return:1.37 Frame:14.20 M  Time_used 13H-3M Time_togo 170H-50M
Mean_return:1.39 Frame:14.31 M  Time_used 13H-8M Time_togo 170H-30M
Mean_return:1.44 Frame:14.42 M  Time_used 13H-13M Time_togo 170H-12M
Mean_return:1.27 Frame:14.53 M  Time_used 13H-18M Time_togo 169H-50M
Mean_return:1.41 Frame:14.63 M  Time_used 13H-22M Time_togo 169H-27M
Mean_return:1.43 Frame:14.74 M  Time_used 13H-27M Time_togo 169H-4M
Mean_return:1.63 Frame:14.85 M  Time_used 13H-31M Time_togo 168H-42M
Mean_return:1.47 Frame:14.96 M  Time_used 13H-36M Time_togo 168H-21M
------------------------------------------------------------
Num steps: 3750000  return: 502.1
------------------------------------------------------------
Mean_return:1.39 Frame:15.05 M  Time_used 13H-48M Time_togo 169H-38M
Mean_return:1.45 Frame:15.16 M  Time_used 13H-53M Time_togo 169H-23M
Mean_return:1.25 Frame:15.27 M  Time_used 13H-58M Time_togo 169H-8M
Mean_return:1.28 Frame:15.37 M  Time_used 14H-3M Time_togo 168H-54M
Mean_return:1.45 Frame:15.47 M  Time_used 14H-8M Time_togo 168H-38M
Mean_return:1.39 Frame:15.58 M  Time_used 14H-13M Time_togo 168H-21M
Mean_return:1.31 Frame:15.70 M  Time_used 14H-18M Time_togo 168H-0M
Mean_return:1.35 Frame:15.80 M  Time_used 14H-23M Time_togo 167H-41M
Mean_return:1.38 Frame:15.90 M  Time_used 14H-27M Time_togo 167H-24M
------------------------------------------------------------
Num steps: 4000000  return: 475.0
------------------------------------------------------------
Mean_return:1.63 Frame:16.01 M  Time_used 14H-40M Time_togo 168H-35M
Mean_return:1.41 Frame:16.11 M  Time_used 14H-45M Time_togo 168H-21M
Mean_return:1.58 Frame:16.22 M  Time_used 14H-50M Time_togo 168H-5M
Mean_return:1.39 Frame:16.34 M  Time_used 14H-55M Time_togo 167H-45M
Mean_return:1.47 Frame:16.45 M  Time_used 15H-0M Time_togo 167H-27M
